player,team,ORtg,Min_per,Usage
Aaron Reddish,Albany,74.53999999999999,18.06,0.17319999999999997
Aaron Scott,St. John's,105.94411764705882,27.241176470588236,0.14691176470588233
Aaron Smith,Alabama A&M,64.86071428571428,7.482142857142857,0.14664285714285713
Abdi Bashir Jr.,Monmouth,96.63030303030304,33.24242424242424,0.3148484848484848
Abdou Khadre Kébé,Mount St. Mary's,56.492592592592594,11.062962962962963,0.18525925925925926
Abdou Samb,Towson,75.46451612903226,7.764516129032257,0.13929032258064514
Abdou Tsimbila,Fordham,98.978125,19.628125,0.17174999999999999
Abdoulaye Thiam,High Point,92.4875,13.78125,0.1725
Abdul Momoh,Central Connecticut,103.88620689655171,26.093103448275862,0.18803448275862067
Abdulai Fanta Kabba,Denver,91.48823529411764,17.241176470588236,0.16594117647058823
Abou Magassa,Wyoming,101.43,15.073333333333332,0.11056666666666667
Abou Ousmane,Oklahoma St.,104.58387096774193,22.270967741935483,0.26638709677419353
Aboubacar Traore,Louisville,95.37083333333334,13.737499999999999,0.207875
Abramo Canka,Stetson,101.07083333333333,26.8,0.17579166666666665
Ace Bailey,Rutgers,104.47,33.32666666666667,0.2582
Ace Baldwin Jr.,Penn St.,106.36,33.88333333333333,0.2561333333333333
Ace Talbert,Saint Francis,76.74,28.0,0.2324
Ace Valentine,UMBC,101.88928571428572,27.24285714285714,0.1664285714285714
Achile Spadone,Bucknell,100.81818181818181,31.757575757575758,0.15678787878787878
Achor Achor,Kansas St.,95.74285714285715,13.228571428571428,0.2928571428571428
Adam Benhayoune,LSU,40.51428571428572,1.3142857142857143,0.1424285714285714
Adam Clark,Merrimack,103.53333333333333,36.906060606060606,0.36172727272727273
Adam Comer,Charleston,75.85714285714286,3.0357142857142856,0.041714285714285704
Adam Hamilton,Lamar,101.44333333333334,24.683333333333334,0.22676666666666667
Adam Hinton,Cornell,93.78,11.224,0.15175999999999998
Adam Holod,American,0.0,1.75,0.0895
Adam Miller,Arizona St.,108.64827586206897,29.382758620689657,0.17637931034482757
Adam Moussa,Cal Baptist,86.056,24.128,0.17123999999999998
Adam Njie Jr.,Iona,96.89393939393939,29.336363636363636,0.25466666666666665
Adam Shoff,Montana,30.0,1.1,0.24130000000000001
Adam Stewart,TCU,100.0,0.9,0.359
Adam Tauer,St. Thomas,100.0,2.55,0.1185
Adama Bal,Santa Clara,109.93666666666667,30.3,0.19616666666666666
Adante’ Holiman,Georgia Southern,112.91250000000001,30.333333333333332,0.24704166666666663
Aday Mara,UCLA,108.1774193548387,12.596774193548388,0.2523870967741935
Addison Arnold,Arizona,23.81,1.3599999999999999,0.29109999999999997
Addison Patterson,Northwestern St.,98.16206896551724,28.83448275862069,0.2822068965517241
Ademide Badmus,Gardner Webb,107.72758620689655,18.16551724137931,0.136551724137931
Ademola Oladipo,Alabama A&M,3.5888888888888886,1.2111111111111112,0.060444444444444446
Aden Holloway,Alabama,121.31515151515151,21.093939393939394,0.20369696969696968
Aden Tagaloa-Nelson,West Virginia,0.0,1.6,0.305
Adetokunbo Bakare,Saint Peter's,103.6,14.24,0.15732
Adou Thiero,Arkansas,115.96538461538461,28.373076923076926,0.2598076923076923
Adrian Samuels,American,34.06153846153846,6.938461538461539,0.1873076923076923
Adrian Uchidiuno,Brown,71.98235294117647,7.8,0.2044705882352941
Adrian Wooley,Kennesaw St.,112.06333333333333,34.330000000000005,0.25876666666666664
Afan Trnka,Tennessee Martin,84.32,25.583333333333332,0.20906666666666665
Ahamad Bynum,UTEP,101.95185185185184,19.737037037037037,0.23685185185185184
Ahmad Henderson II,Illinois Chicago,105.44827586206897,24.731034482758623,0.2496551724137931
Ahmad Nowell,Connecticut,68.77777777777777,6.4111111111111105,0.18388888888888888
Ahmad Robinson,Mercer,97.13225806451612,32.23548387096774,0.31806451612903225
Ahmed Barba-Bey,Fairleigh Dickinson,95.74333333333334,24.926666666666666,0.172
Ahmed Essahaty,Southeastern Louisiana,78.86,8.416,0.11263999999999999
Ahmet Jonovic,Bradley,108.58333333333333,15.6,0.2174
Ahmir Langlais,Tennessee St.,87.62380952380951,13.233333333333333,0.17971428571428572
Ahron Ulis,Nebraska,77.44444444444444,11.011111111111111,0.15725925925925924
Aidan Braccia,Belmont,75.1,3.5,0.163
Aidan Burke,UC San Diego,138.5625,12.815625,0.12628124999999998
Aidan Cammann,Stanford,89.97272727272727,16.884848484848487,0.12396969696969695
Aidan Carpenter,Sacred Heart,85.86250000000001,27.7125,0.19187499999999996
Aidan Driggers,Jacksonville St.,0.0,0.16666666666666666,0.0
Aidan Hadaway,Ohio,120.5529411764706,27.45294117647059,0.17805882352941174
Aidan Harris,Saint Francis,98.56296296296296,9.040740740740741,0.12337037037037037
Aidan Kehoe,Navy,107.82727272727273,29.666666666666668,0.17236363636363636
Aidan Konop,Wisconsin,0.0,0.775,0.0
Aidan Mahaney,Connecticut,83.3875,12.471875,0.20571875
Aidan McCool,Louisville,10.22,0.93,0.0252
Aidan Mckeon,James Madison,66.66666666666667,0.9666666666666667,0.053
Aidan Noyes,Belmont,107.84074074074073,15.085185185185185,0.10618518518518517
Aidan Reichert,Mercyhurst,108.79285714285713,30.364285714285717,0.2541428571428571
Aidan Richard,Holy Cross,97.26666666666667,22.847619047619048,0.12157142857142855
Aidan Rubio,UNC Asheville,106.66,13.76,0.10479999999999998
Aidan Shaw,Missouri,78.87857142857142,9.210714285714285,0.12003571428571427
