date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Steven Crowl,Wisconsin,Player Points,FanDuel,10.5,-105.0,-125.0
2025-03-22,Steven Crowl,Wisconsin,Player Points,Fliff,10.5,-115.0,-140.0
2025-03-22,Steven Crowl,Wisconsin,Player Rebounds,BetOnline,5.5,108.0,-140.0
2025-03-22,Steven Crowl,Wisconsin,Player Rebounds,FanDuel,5.5,-108.0,-132.0
2025-03-22,Steven Crowl,Wisconsin,Player Rebounds,Fliff,4.5,-160.0,105.0
2025-03-22,Danny Wolf,Michigan,Player Assists,BetOnline,3.5,-153.0,119.0
2025-03-22,Danny Wolf,Michigan,Player Assists,FanDuel,3.5,-140.0,102.0
2025-03-22,Danny Wolf,Michigan,Player Assists,Fliff,3.5,-175.0,115.0
2025-03-22,Danny Wolf,Michigan,Player Points,BetOnline,13.5,-113.0,-113.0
2025-03-22,Danny Wolf,Michigan,Player Points,Fliff,13.5,-130.0,-120.0
2025-03-22,Danny Wolf,Michigan,Player Rebounds,BetOnline,9.5,-158.0,122.0
2025-03-22,Danny Wolf,Michigan,Player Rebounds,FanDuel,10.5,-110.0,-122.0
2025-03-22,Danny Wolf,Michigan,Player Rebounds,Fliff,9.5,-160.0,105.0
2025-03-22,Henry Coleman III,Texas A&M,Player Points,BetOnline,7.5,110.0,-142.0
2025-03-22,Henry Coleman III,Texas A&M,Player Points,FanDuel,9.5,210.0,
2025-03-22,Henry Coleman III,Texas A&M,Player Points,Fliff,6.5,-140.0,-110.0
2025-03-22,Henry Coleman III,Texas A&M,Player Rebounds,BetOnline,5.5,100.0,-129.0
2025-03-22,Henry Coleman III,Texas A&M,Player Rebounds,FanDuel,5.5,-108.0,-128.0
2025-03-22,Henry Coleman III,Texas A&M,Player Rebounds,Fliff,5.5,-135.0,-125.0
2025-03-22,Nimari Burnett,Michigan,Player Assists,BetOnline,1.5,-123.0,-105.0
2025-03-22,Nimari Burnett,Michigan,Player Assists,Fliff,1.5,-140.0,-115.0
