player,team,weighted_ast,kalman_ast,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Dre Davis,Mississippi,1.22427724088183,1.0922549144419176,69.8913743556673,116.92045600866332,95.9843102839043,74.66203471377257,118.94896068697987,91.41009474444932
Jordan Gainey,Tennessee,1.8998689741073405,1.6438512980386009,64.93020731760637,119.28690648156812,91.16374994658324,62.54964081172583,118.09916380610107,93.69106966586465
Ben Murphy,Maryland,0.1875695561716127,0.2893405864193172,75.18487284737631,118.28055361883936,90.80058766185536,68.24443625812171,116.59451988508884,98.60902577155714
Ryan Agarwal,Stanford,2.147931697047816,1.990293527309808,73.25036048496266,113.776569173904,100.09207926504816,65.72188689302916,104.19549592331023,102.4930133741152
Julian Reese,Maryland,1.132001329863176,0.9253359898416296,75.18487284737631,118.28055361883936,90.80058766185536,68.24443625812171,116.59451988508884,98.60902577155714
Terrance Ford Jr.,Arkansas St.,5.229741496164702,5.917370337028869,64.91096269661608,109.02638592595048,103.60283404548171,69.93992356536387,111.1090527756662,97.76665171985026
Kendall Campbell,Elon,0.0829051642318402,0.001589137562589,75.73158320613891,105.7400998646362,111.12210078382276,70.10865588255518,99.62404604715852,113.33815865938688
Ty Bevins,George Washington,0.4921422676441684,0.4030705877958853,67.06175862162564,107.32239837719852,102.57062425741542,74.07991233485181,114.7994665691354,99.03393774333983
Nick Dorn,Elon,0.7151485991295181,0.5971982866101331,75.73158320613891,105.7400998646362,111.12210078382276,70.10865588255518,99.62404604715852,113.33815865938688
Michael Ajayi,Gonzaga,0.781209638941431,0.7004417663602741,65.46264605609873,124.12144044908496,95.51116527737128,72.09334296649898,124.58216908671632,87.04856505167545
Emanuel Sharp,Houston,0.7672521801467022,0.2973274349037083,72.09334296649898,124.58216908671632,87.04856505167545,65.46264605609873,124.12144044908496,95.51116527737128
Kyle Jorgensen,Colorado St.,0.8002403724281835,0.2091036973708827,68.24443625812171,116.59451988508884,98.60902577155714,75.18487284737631,118.28055361883936,90.80058766185536
Milos Uzan,Houston,4.028341890444616,3.224607910008125,72.09334296649898,124.58216908671632,87.04856505167545,65.46264605609873,124.12144044908496,95.51116527737128
Jonah Pierce,Presbyterian,1.6976855434716616,1.5245092488449294,67.91762583456321,102.80106301807272,110.25402037813627,75.0938500039974,112.06086964241904,108.3855877499289
Braxton Meah,Nebraska,0.5843334553848305,0.1716712051130458,74.83650031430858,112.02074573434244,98.61901979257252,74.33085876122698,113.30832659818688,100.4498972552953
JJ Traynor,DePaul,0.5862125307076929,0.6390958636916285,65.60732220592591,109.21427612082525,103.52997761550476,73.00086008736548,111.6826308977644,94.84530720198758
Rob Dockery,Texas A&M,1.0,1.0,69.7062473014844,115.45578743362606,92.71214868416922,68.95457433507453,115.28258091426493,93.58219993300357
Rihards Vavers,Washington St.,0.4150177976185222,0.6384538832449401,77.80670610989915,112.68195913113584,106.14987532686204,78.82620955405899,107.07616771731055,99.5304891483429
DaJohn Craig,Oregon St.,0.4327028762762991,0.3808895199702917,78.70123449068421,115.90770479213154,107.52790531420206,81.55498088986428,115.31677659132605,103.14219083853936
Jayden Williams,Incarnate Word,0.2313174216701652,0.473747723922665,75.19930837960818,105.07161026330492,111.32053842139868,74.15884736804476,106.8979238243412,114.88850306938868
Jalen Lake,Colorado St.,1.9950876587139768,2.154217604885603,68.24443625812171,116.59451988508884,98.60902577155714,75.18487284737631,118.28055361883936,90.80058766185536
Jamahri Harvey,Presbyterian,0.7908069631729946,0.9153332760533366,67.91762583456321,102.80106301807272,110.25402037813627,75.0938500039974,112.06086964241904,108.3855877499289
Anthony Morales,Kent St.,0.6931801811904591,0.3627053552230246,65.72188689302916,104.19549592331023,102.4930133741152,73.25036048496266,113.776569173904,100.09207926504816
Jalen Rucker,Army,2.8010301283367496,2.591243348295305,70.10865588255518,99.62404604715852,113.33815865938688,75.73158320613891,105.7400998646362,111.12210078382276
Mason Madsen,Utah,1.1874923800017347,1.1149108620731074,78.61236496804354,112.54969916673292,99.9868241651276,77.32277501478106,115.942952258887,104.76479018606366
Brandon Murray,McNeese St.,2.1068692759489074,2.406313535365918,67.37141551813926,113.74694257412268,99.70941198107916,74.30263831671525,125.14556035575436,99.46798215427594
Jayden Nunn,Baylor,1.5593304266967478,1.608160631172852,65.41302637762443,120.7817327505784,98.8421633037986,75.52777982579408,128.02807225716327,90.74103246949451
Nique Clifford,Colorado St.,4.623287756328742,4.956583812668148,68.24443625812171,116.59451988508884,98.60902577155714,75.18487284737631,118.28055361883936,90.80058766185536
Jeremy Fears Jr.,Michigan St.,5.338636612435658,5.178501691360306,76.96523034530803,117.07415885336424,91.34142517133051,70.77544440416561,111.66126236102215,94.73735146173104
Malik Dia,Mississippi,0.6936129296677553,0.4573910854888801,69.8913743556673,116.92045600866332,95.9843102839043,74.66203471377257,118.94896068697987,91.41009474444932
Ryan Van Eyck,Incarnate Word,0.2018120336815949,0.2124754671900332,75.19930837960818,105.07161026330492,111.32053842139868,74.15884736804476,106.8979238243412,114.88850306938868
Filip Borovicanin,New Mexico,1.1880126113057654,1.1764126513096445,70.77544440416561,111.66126236102215,94.73735146173104,76.96523034530803,117.07415885336424,91.34142517133051
Miro Little,Utah,2.4836450473190426,0.9527911923474562,78.61236496804354,112.54969916673292,99.9868241651276,77.32277501478106,115.942952258887,104.76479018606366
Parker Robison,Chattanooga,0.1206084945055332,0.0817394931957122,76.74483200351185,115.20671998715976,109.5001726800296,78.29418017603744,113.4451614802412,105.63618999254946
Davonte Davis,Oklahoma St.,0.7967052156811001,0.8525880815025018,74.67447730085605,106.82484623010708,100.80230746285156,83.65260377649713,117.21142324996084,98.4419063499159
Aiden Sherrell,Alabama,0.4193945714904254,0.5878307575996409,75.69114135334145,127.166137446473,96.36382349571232,71.172391816685,114.40201240516896,92.19549500495653
Denzel Aberdeen,Florida,1.4680616466468774,0.9988563059802048,80.06030110932277,127.94795224149092,94.14555425682136,70.79959090283064,120.94581272114186,100.63377981531916
Jordan Davis,Illinois St.,0.9001790985202489,1.117009396408726,75.0938500039974,112.06086964241904,108.3855877499289,67.91762583456321,102.80106301807272,110.25402037813627
Johnny O'Neil,Santa Clara,1.4622777520378771,1.7160842701970989,88.99328797816197,118.00136596980406,97.93738798093284,76.91869476132275,114.56240755905613,110.40764779615402
Keon Ambrose-Hylton,SMU,0.5101447759934433,0.7400728011742609,83.65260377649713,117.21142324996084,98.4419063499159,74.67447730085605,106.82484623010708,100.80230746285156
Joul Karram,Utah,0.2866975200593263,0.2713032939229658,78.61236496804354,112.54969916673292,99.9868241651276,77.32277501478106,115.942952258887,104.76479018606366
TK Simpkins,Elon,2.747006112257665,3.203595356938467,75.73158320613891,105.7400998646362,111.12210078382276,70.10865588255518,99.62404604715852,113.33815865938688
Augustas Marciulionis,Saint Mary's,6.067183568630635,5.286183151123548,71.172391816685,114.40201240516896,92.19549500495653,75.69114135334145,127.166137446473,96.36382349571232
Cade Phillips,Tennessee,0.457719325138314,0.0214622375872397,64.93020731760637,119.28690648156812,91.16374994658324,62.54964081172583,118.09916380610107,93.69106966586465
Sean Hansen,George Washington,1.6929942380087362,1.7847909018864092,67.06175862162564,107.32239837719852,102.57062425741542,74.07991233485181,114.7994665691354,99.03393774333983
Rubén Prey,St. John's,0.3195897768642647,0.154094737960206,73.02854465323195,112.90198000693692,88.71377182216985,67.65595427931045,112.19224690483864,95.15660824914218
Nnanna Njoku,Villanova,0.1779130413511612,0.0519327633112332,71.90734098772052,118.66747549922049,102.16177061067214,68.40144646256093,108.59440957685044,98.42590571014284
Rollie Worster,Nebraska,2.63294620418427,2.6920561231674363,74.83650031430858,112.02074573434244,98.61901979257252,74.33085876122698,113.30832659818688,100.4498972552953
Dyondre Dominguez,Arkansas St.,0.6649011224223036,0.7565124119277906,64.91096269661608,109.02638592595048,103.60283404548171,69.93992356536387,111.1090527756662,97.76665171985026
Jace Carter,Texas A&M,0.37776430719732,0.0334572043857351,69.7062473014844,115.45578743362606,92.71214868416922,68.95457433507453,115.28258091426493,93.58219993300357
Darius Maddox,George Mason,1.158610421655629,1.3527610301294972,68.87031537054487,107.48250215169412,93.87184684945564,63.29577039426129,109.4644581655592,104.29742578155847
Javon Bennett,Dayton,2.0349150644067797,1.9748521172150304,78.29418017603744,113.4451614802412,105.63618999254946,76.74483200351185,115.20671998715976,109.5001726800296
Jordan Longino,Villanova,2.276931350684132,2.249951165360228,71.90734098772052,118.66747549922049,102.16177061067214,68.40144646256093,108.59440957685044,98.42590571014284
Jacoi Hutchinson,George Washington,2.2355984465391256,2.36568355523498,67.06175862162564,107.32239837719852,102.57062425741542,74.07991233485181,114.7994665691354,99.03393774333983
Brayden Crump,Elon,0.1734210234413292,0.3540365065979314,75.73158320613891,105.7400998646362,111.12210078382276,70.10865588255518,99.62404604715852,113.33815865938688
Keanu Dawes,Utah,0.9605584861384592,1.26687963389851,78.61236496804354,112.54969916673292,99.9868241651276,77.32277501478106,115.942952258887,104.76479018606366
Khalif Battle,Gonzaga,1.5175463858103462,1.7971112275583572,65.46264605609873,124.12144044908496,95.51116527737128,72.09334296649898,124.58216908671632,87.04856505167545
TJ Simpkins,Elon,2.8702104490035536,1.97535211042002,75.73158320613891,105.7400998646362,111.12210078382276,70.10865588255518,99.62404604715852,113.33815865938688
Latrell Wrightsell Jr.,Alabama,2.004697238862192,1.8632190681427296,75.69114135334145,127.166137446473,96.36382349571232,71.172391816685,114.40201240516896,92.19549500495653
David Skogman,DePaul,1.0387959351986225,0.6110200470965361,65.60732220592591,109.21427612082525,103.52997761550476,73.00086008736548,111.6826308977644,94.84530720198758
Bradley Ezewiro,UAB,0.2836730692278773,0.0656512611791607,76.91869476132275,114.56240755905613,110.40764779615402,88.99328797816197,118.00136596980406,97.93738798093284
Kayde Dotson,New Mexico,0.4278736226423476,0.0267228122960448,70.77544440416561,111.66126236102215,94.73735146173104,76.96523034530803,117.07415885336424,91.34142517133051
Isaiah Evans,Duke,0.5915458261554373,0.670632802038689,75.52777982579408,128.02807225716327,90.74103246949451,65.41302637762443,120.7817327505784,98.8421633037986
Javohn Garcia,McNeese St.,1.9915612625754644,1.9213161519964317,67.37141551813926,113.74694257412268,99.70941198107916,74.30263831671525,125.14556035575436,99.46798215427594
