player,team,weighted_pts,kalman_pts,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Gicarri Harris,Purdue,4.272480357916695,6.20883107636844,81.74321927615082,125.014543556598,100.00204644216146,71.15415814049132,117.64760548572175,108.11423831905918
Julian Reese,Maryland,12.95669993796448,11.737339636475877,81.78532504705217,117.8006508029591,92.0001223929238,69.7226676010178,108.53639289307768,99.43001125923556
Josh Hubbard,Mississippi St.,19.28586815705311,22.229060925637334,72.13765374629563,118.30200538660104,98.73895064850208,73.09310939649329,120.49772569938987,99.25692728127714
Leland Walker,Florida Atlantic,9.058257362309456,8.717243777546495,78.15878684465767,113.65495668817236,105.37371761962196,77.52016949991096,113.08443470018152,105.73135899082232
Jalon Moore,Oklahoma,15.096932988468486,12.06825588693204,73.23614860536948,117.61517079592087,100.84014337131046,74.82975994385116,121.54705036778576,101.991899517453
Harrison Carrington,Colorado,2.7364147636132983,1.143229637362547,68.26321911954969,108.4810224281263,98.90056860888797,71.8907534893275,118.56429469319116,102.48298079639724
Noah Waterman,Louisville,5.928036713186296,7.041793741840239,75.03858713710342,118.19803663651209,94.72856463692486,71.80088090609053,117.29923145242525,98.24732544937127
Malachi Smith,Dayton,10.47085425139778,11.071584589817826,77.52016949991096,113.08443470018152,105.73135899082232,78.15878684465767,113.65495668817236,105.37371761962196
Jacen Holloway,Army,2.918678604681996,5.672020197671775,70.29430686845487,100.0736216239764,113.41164790917964,75.66171739646434,105.96898860797847,111.34212222257588
Kevin de Kovachich,North Alabama,2.3597539581708853,2.602472308944646,71.38174654759464,110.50850723391125,108.02800254470344,76.22776085234848,112.50716882508912,102.80155830321246
Shammah Scott,Akron,10.049921337192064,11.762563855974648,76.32305619709032,113.79005880670368,106.72076428755898,91.9663931696404,123.89916481553794,96.43608743742836
Chase Ross,Marquette,10.54087760796416,10.246018715602704,76.60999495107791,116.6275241016466,96.51854364211178,74.64543105530201,111.72669973542304,94.89621225676308
C.J. Wilcher,Texas A&M,4.470777784782949,4.343467054810161,74.51066156409115,115.6324054123989,93.08490895026358,65.8438910463545,113.85459227896564,103.7177776148286
Clifford Omoruyi,Alabama,7.827212399986021,10.051251061752245,94.97085467346454,127.61322067865144,96.32221651819388,72.29726062538877,105.87178226864891,104.97346357173288
Cooper Campbell,Troy,5.089359369652954,4.278844940360743,69.01351359626945,106.69012109637856,100.56798187283673,81.6295298837936,123.7953708388456,98.6567433788276
Alijah Martin,Florida,13.972165990231105,12.96760133536231,89.7508993593995,127.67532166290204,93.99029320497156,64.34234135445972,106.16745252447542,109.02080616056568
Josh Scovens,Army,14.668726329740922,11.17808557658536,70.29430686845487,100.0736216239764,113.41164790917964,75.66171739646434,105.96898860797847,111.34212222257588
Jerrell Colbert,SMU,2.2317265451654293,1.4687809507288552,79.73943658061117,118.21632350506786,99.0410384795639,68.2518596108977,107.14708559621413,104.99862697823151
Latrell Wrightsell Jr.,Alabama,11.404968136198764,10.732060912524346,94.97085467346454,127.61322067865144,96.32221651819388,72.29726062538877,105.87178226864891,104.97346357173288
"Dallan ""Deebo"" Coleman",UCF,4.722558469375126,4.095839595612182,81.65978070824424,115.44436953037156,103.60166387715516,78.80614703231113,115.97667469463744,107.94629820100948
Harrison Alexander,Mississippi St.,0.1829003691302212,0.0719846223276398,72.13765374629563,118.30200538660104,98.73895064850208,73.09310939649329,120.49772569938987,99.25692728127714
Alejandro Vasquez,UAB,11.2342115860518,8.696195243541109,77.78735960941161,115.66538668972716,111.55913958705322,84.0235195286263,112.03208493032416,99.83953201028194
Josh Gray,Missouri,3.4059113348269583,3.336524578638438,69.7807176658624,126.98832274830158,100.77946813227815,63.31230729490869,112.51859605745508,98.41920903124044
Brandon Murray,McNeese St.,7.123751084151695,6.02277932593091,63.12284290289789,113.39512240091196,100.69811802591698,69.79359018910506,118.16763290231056,94.90662442866729
Nate Bittle,Oregon,14.69714284356686,18.602807624230184,69.75458133775491,115.11625343624422,97.20320435235934,67.9679731717988,113.03729698303373,97.95669328167683
Michael Ajayi,Gonzaga,6.658766099530847,4.896212378304137,76.91563542227722,123.28893196089729,96.37714125764526,72.76216758519284,115.89521298908342,95.76888953832604
Donte Bacchus,North Alabama,8.25955787802252,9.62483657973374,71.38174654759464,110.50850723391125,108.02800254470344,76.22776085234848,112.50716882508912,102.80155830321246
Ayomide Bamisile,Utah,1.3024979437882414,1.4057916509966153,78.62751383872683,112.51489510001656,100.42930067070536,77.37237067881064,115.97924242486911,105.24542990101416
Jonah Pierce,Presbyterian,12.495198014250027,12.344230957727302,68.09442679538951,103.08321145109966,110.48192626248066,74.95280664361626,112.02099866510883,108.77411872025311
Christian Jones,George Washington,8.862989289453047,8.848475765155895,66.96262557313386,107.55665158962717,102.74746159589496,74.26564795076122,115.376175866143,99.07900495705763
John Tonje,Wisconsin,19.29412425271048,19.18956148163992,84.290088341479,122.38570981126742,96.09440303906264,68.04359868958828,111.99547283962468,108.93240306351544
Gabe Madsen,Utah,14.464526130975509,13.022169053524138,78.62751383872683,112.51489510001656,100.42930067070536,77.37237067881064,115.97924242486911,105.24542990101416
Amari Williams,Kentucky,11.421070218737649,12.300622321907989,81.6295298837936,123.7953708388456,98.6567433788276,69.01351359626945,106.69012109637856,100.56798187283673
Miles Rubin,Loyola Chicago,9.49386231853216,9.76514752424696,70.86443853044804,106.27201405854092,102.40284578861488,70.6482645802506,108.2434778520032,104.63098174940924
