player,team,weighted_trb,kalman_trb,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Justin Hohn,UC Irvine,2.906666392882826,2.259256904222818,72.9024612628943,107.73820500100769,96.145856468267,66.22327173025538,107.41906494989134,105.83055891133957
Chris Ashby,Queens,1.3267955104340488,1.568588625559184,76.43531018116386,105.765532417018,108.62025651157782,73.84274028708651,103.60711065181404,110.2433342694242
Jamari Phillips,Oregon,0.612241208163977,0.6460456077653384,69.97023542271774,115.22975967282684,97.03581487678142,67.96548492369377,113.02570183407131,97.98724086273336
Tyler Ringgold,Tulane,1.99729521239492,1.2026120542175227,72.82829349617158,108.34023253814968,106.09154230774746,80.97181991827608,116.87075297163364,102.6435049604288
Yoav Berman,Queens,2.61957826460474,2.207383881494907,76.43531018116386,105.765532417018,108.62025651157782,73.84274028708651,103.60711065181404,110.2433342694242
Maban Jabriel,Queens,3.383051910281822,2.4722293477659383,76.43531018116386,105.765532417018,108.62025651157782,73.84274028708651,103.60711065181404,110.2433342694242
Jackson Mayo,Army,0.6598019225486587,0.7699703768334023,70.25184517062661,99.93208952485776,113.47116459909844,75.83957500501212,106.00767575585148,111.26102715155366
Percy Daniels,Tulane,1.6562026483168752,1.875814542789963,72.82829349617158,108.34023253814968,106.09154230774746,80.97181991827608,116.87075297163364,102.6435049604288
Myles Che,UC Irvine,2.507253752338896,1.7229835936725617,72.9024612628943,107.73820500100769,96.145856468267,66.22327173025538,107.41906494989134,105.83055891133957
Cody Head,Arkansas St.,0.5421148344513987,0.3880056954950288,65.04130381085207,109.30207025941864,103.6808667528406,69.98544360591754,111.36105281621664,97.95188777603242
Jaxson Bell,Army,0.4451117971797699,0.625,70.25184517062661,99.93208952485776,113.47116459909844,75.83957500501212,106.00767575585148,111.26102715155366
Kevin McCarthy,Army,1.0081449960955984,2.2440402167739237,70.25184517062661,99.93208952485776,113.47116459909844,75.83957500501212,106.00767575585148,111.26102715155366
Kaleb Banks,Tulane,6.1725775072398505,5.117024942458864,72.82829349617158,108.34023253814968,106.09154230774746,80.97181991827608,116.87075297163364,102.6435049604288
Dola Adebayo,Mount St. Mary's,6.944765304428705,6.805813433083158,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Trey Wilson,Mount St. Mary's,0.6752648016399379,0.5913339955402092,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Javon Ervin,Mount St. Mary's,2.2950677846139267,2.2402274100962223,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Kam Farris,Bryant,0.7086908321902508,0.3185201915699343,66.64137023199562,105.65649593428,105.29041057202863,84.66844524517909,116.91982296062965,91.7071291165965
Chris McDermott,Texas A&M,2.030737239233239,1.5512386769960242,69.90173572111556,115.50471262873972,93.01398730075611,68.94084622858495,115.18058349723498,94.045751730236
